epoch,train_loss_scaled_mse,validation_loss_scaled_mse,validation_mae_seconds
1,13.186488222803389,1.3759357884724934,547.6640367838542
2,1.5825366238185337,1.025238665262858,530.5401656901041
3,0.9381423159326826,0.7964011952082316,461.4045096842448
4,0.9236979315621512,0.7007038116455078,480.9844116210937
5,0.6002619809423174,0.6043895454406738,390.9690223795573
6,0.5053025408472334,0.5890101545651754,396.98644978841145
7,0.40059731779779706,0.3619231730302175,312.51917431640624
8,1.5525494840826306,0.46545626616477964,356.048841796875
9,0.3969786458696638,0.47788920855522155,20225.58685107422
10,0.30721498887879506,0.2964687212308248,272.1608780110677
11,0.2451658249582563,0.32190226364135743,300.7412129720052
12,0.24421715215274264,0.32437273573875425,282.6935729980469
