epoch,train_loss_scaled_mse,validation_loss_scaled_mse,validation_mae_seconds
1,1.0051339342934744,0.916754859606425,503.36219368489583
2,0.800364698614393,0.7445930433273316,465.67959505208336
3,0.6364174885068621,0.5979857776959737,419.3886142578125
4,0.5129086357525416,0.487458455880483,366.44659269205727
5,0.4351394877093179,0.42472113378842674,331.8703163248698
6,0.39480366509301323,0.3894115578333537,316.855859781901
7,0.3667390023980822,0.3662348457972209,307.4610454915365
8,0.34338638796125137,0.34401152944564817,295.4747099609375
9,0.32477537216459,0.3319619360764821,290.3767647298177
10,0.3082195616109031,0.31714118083318077,282.8575303548177
11,0.29385075977870395,0.3032921448548635,275.5072228190104
12,0.2802439866406577,0.295061953385671,272.92812727864583
